2016-04-28 22:29:04,963 [Worker-2] ERROR o.e.m.c.i.p.ProjectConfigurationManager - Project jersyRestApi already exists
2016-04-28 22:29:04,971 [Worker-2] ERROR o.e.m.c.i.p.ProjectConfigurationManager - Project jersyRestApi already exists
2016-04-28 22:29:06,961 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.sn:jersyRestApi:0.0.1-SNAPSHOT @ D:\rama\rama\project-templates\jersy-restproject\jersyRestApi\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\pom.xml.
2016-04-28 22:29:08,631 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /jersyRestApi/src/main/java
2016-04-28 22:29:08,631 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /jersyRestApi/src/test/java
2016-04-28 22:29:08,635 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.sn:jersyRestApi:0.0.1-SNAPSHOT @ D:\rama\rama\project-templates\jersy-restproject\jersyRestApi\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\pom.xml.
2016-04-28 22:29:11,060 [Worker-2] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 3 project(s) in 6 sec
2016-04-28 22:29:12,482 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.sn:jersyRestApi:0.0.1-SNAPSHOT @ D:\rama\rama\project-templates\jersy-restproject\jersyRestApi\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\pom.xml.
2016-04-28 22:29:12,636 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 22:29:12,641 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\rama\rama\project-templates\jersy-restproject\jersyRestApi\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\src\main\resources
2016-04-28 22:29:12,643 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 22:29:12,649 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\rama\rama\project-templates\jersy-restproject\jersyRestApi\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\src\test\resources
2016-04-28 22:30:58,614 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.sn:jersyRestApi:0.0.1-SNAPSHOT @ D:\rama\rama\project-templates\jersy-restproject\jersyRestApi\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\pom.xml.
2016-04-28 22:30:58,645 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.sn:jersyRestApi:0.0.1-SNAPSHOT @ D:\rama\rama\project-templates\jersy-restproject\jersyRestApi\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\pom.xml.
2016-04-28 22:30:58,848 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 22:30:58,848 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\rama\rama\project-templates\jersy-restproject\jersyRestApi\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\src\main\resources
2016-04-28 22:30:58,848 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 22:30:58,848 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\rama\rama\project-templates\jersy-restproject\jersyRestApi\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\src\test\resources
2016-04-28 22:30:59,981 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.sn:jersyRestApi:0.0.1-SNAPSHOT @ D:\rama\rama\project-templates\jersy-restproject\jersyRestApi\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\pom.xml.
2016-04-28 22:31:00,309 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 22:31:00,309 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\rama\rama\project-templates\jersy-restproject\jersyRestApi\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\src\main\resources
2016-04-28 22:31:00,309 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 22:31:00,325 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\rama\rama\project-templates\jersy-restproject\jersyRestApi\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\src\test\resources
2016-04-28 22:31:16,648 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.sn:jersySpringRestApi:0.0.1-SNAPSHOT @ D:\rama\rama\project-templates\jersy-restproject\jersyRestApi\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\pom.xml.
2016-04-28 22:31:16,726 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 22:31:16,726 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\rama\rama\project-templates\jersy-restproject\jersyRestApi\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\src\main\resources
